year,country,built_reactors,shutdown_reactors,operating_reactors
2014,CAN,25,6,19
2015,CAN,25,6,19
2016,CAN,25,6,19
2017,CAN,25,6,19
2018,CAN,25,6,19
2019,CAN,25,6,19
2020,CAN,25,6,19
1968,CHE,1,0,1
1969,CHE,2,1,1
1970,CHE,2,1,1
1971,CHE,4,1,3
1972,CHE,4,1,3
1973,CHE,4,1,3
1974,CHE,4,1,3
1975,CHE,4,1,3
1976,CHE,4,1,3
1977,CHE,4,1,3
1978,CHE,4,1,3
1979,CHE,5,1,4
1980,CHE,5,1,4
1981,CHE,5,1,4
1982,CHE,5,1,4
1983,CHE,5,1,4
1984,CHE,6,1,5
1985,CHE,6,1,5
1986,CHE,6,1,5
1987,CHE,6,1,5
1988,CHE,6,1,5
1989,CHE,6,1,5
1990,CHE,6,1,5
1991,CHE,6,1,5
1992,CHE,6,1,5
1993,CHE,6,1,5
1994,CHE,6,1,5
1995,CHE,6,1,5
1996,CHE,6,1,5
1997,CHE,6,1,5
1998,CHE,6,1,5
1999,CHE,6,1,5
2000,CHE,6,1,5
2001,CHE,6,1,5
2002,CHE,6,1,5
2003,CHE,6,1,5
2004,CHE,6,1,5
2005,CHE,6,1,5
2006,CHE,6,1,5
2007,CHE,6,1,5
2008,CHE,6,1,5
2009,CHE,6,1,5
2010,CHE,6,1,5
2011,CHE,6,1,5
2012,CHE,6,1,5
2013,CHE,6,1,5
2014,CHE,6,1,5
2015,CHE,6,1,5
2016,CHE,6,1,5
2017,CHE,6,1,5
2018,CHE,6,1,5
2019,CHE,6,2,4
2020,CHE,6,2,4
1991,CHN,1,0,1
1992,CHN,1,0,1
1993,CHN,2,0,2
1994,CHN,3,0,3
1995,CHN,3,0,3
1996,CHN,3,0,3
1997,CHN,3,0,3
1998,CHN,3,0,3
1999,CHN,3,0,3
2000,CHN,3,0,3
2001,CHN,3,0,3
2002,CHN,7,0,7
2003,CHN,8,0,8
2004,CHN,9,0,9
2005,CHN,9,0,9
2006,CHN,10,0,10
2007,CHN,11,0,11
2008,CHN,11,0,11
2009,CHN,11,0,11
2010,CHN,13,0,13
2011,CHN,15,0,15
2012,CHN,16,0,16
2013,CHN,19,0,19
2014,CHN,22,0,22
2015,CHN,30,0,30
2016,CHN,35,0,35
2017,CHN,38,0,38
2018,CHN,45,0,45
2019,CHN,47,0,47
2020,CHN,49,0,49
1985,CZE,1,0,1
1986,CZE,3,0,3
1987,CZE,4,0,4
1988,CZE,4,0,4
1989,CZE,4,0,4
1990,CZE,4,0,4
1991,CZE,4,0,4
1992,CZE,4,0,4
1993,CZE,4,0,4
1994,CZE,4,0,4
1995,CZE,4,0,4
1996,CZE,4,0,4
1997,CZE,4,0,4
1998,CZE,4,0,4
1999,CZE,4,0,4
2000,CZE,5,0,5
2001,CZE,5,0,5
2002,CZE,6,0,6
2003,CZE,6,0,6
2004,CZE,6,0,6
2005,CZE,6,0,6
2006,CZE,6,0,6
2007,CZE,6,0,6
2008,CZE,6,0,6
2009,CZE,6,0,6
2010,CZE,6,0,6
2011,CZE,6,0,6
2012,CZE,6,0,6
2013,CZE,6,0,6
2014,CZE,6,0,6
2015,CZE,6,0,6
2016,CZE,6,0,6
2017,CZE,6,0,6
2018,CZE,6,0,6
2019,CZE,6,0,6
2020,CZE,6,0,6
1961,DEU,1,0,1
1962,DEU,1,0,1
1963,DEU,1,0,1
1964,DEU,1,0,1
1965,DEU,1,0,1
1966,DEU,4,0,4
1967,DEU,5,0,5
1968,DEU,7,0,7
1969,DEU,8,0,8
1970,DEU,8,0,8
1971,DEU,9,1,8
1972,DEU,10,1,9
1973,DEU,12,1,11
1974,DEU,14,2,12
1975,DEU,14,2,12
1976,DEU,17,2,15
1977,DEU,19,4,15
1978,DEU,21,4,17
1979,DEU,23,4,19
1980,DEU,23,4,19
1981,DEU,24,4,20
1982,DEU,24,4,20
1983,DEU,25,4,21
1984,DEU,29,5,24
1985,DEU,30,6,24
1986,DEU,32,6,26
1987,DEU,32,6,26
1988,DEU,34,9,25
1989,DEU,36,10,26
1990,DEU,36,15,21
1991,DEU,36,16,20
1992,DEU,36,16,20
1993,DEU,36,16,20
1994,DEU,36,17,19
1995,DEU,36,17,19
1996,DEU,36,17,19
1997,DEU,36,17,19
1998,DEU,36,17,19
1999,DEU,36,17,19
2000,DEU,36,17,19
2001,DEU,36,17,19
2002,DEU,36,17,19
2003,DEU,36,18,18
2004,DEU,36,18,18
2005,DEU,36,19,17
2006,DEU,36,19,17
2007,DEU,36,19,17
2008,DEU,36,19,17
2009,DEU,36,19,17
2010,DEU,36,19,17
2011,DEU,36,27,9
2012,DEU,36,27,9
2013,DEU,36,27,9
2014,DEU,36,27,9
2015,DEU,36,28,8
2016,DEU,36,28,8
2017,DEU,36,29,7
2018,DEU,36,29,7
2019,DEU,36,30,6
2020,DEU,36,30,6
1968,ESP,1,0,1
1969,ESP,1,0,1
1970,ESP,1,0,1
1971,ESP,2,0,2
1972,ESP,3,0,3
1973,ESP,3,0,3
1974,ESP,3,0,3
1975,ESP,3,0,3
1976,ESP,3,0,3
1977,ESP,3,0,3
1978,ESP,3,0,3
1979,ESP,3,0,3
1980,ESP,3,0,3
1981,ESP,4,0,4
1982,ESP,4,0,4
1983,ESP,6,0,6
1984,ESP,7,0,7
1985,ESP,8,0,8
1986,ESP,8,0,8
1987,ESP,9,0,9
1988,ESP,10,0,10
1989,ESP,10,0,10
1990,ESP,10,1,9
1991,ESP,10,1,9
1992,ESP,10,1,9
1993,ESP,10,1,9
1994,ESP,10,1,9
1995,ESP,10,1,9
1996,ESP,10,1,9
1997,ESP,10,1,9
1998,ESP,10,1,9
1999,ESP,10,1,9
2000,ESP,10,1,9
2001,ESP,10,1,9
2002,ESP,10,1,9
2003,ESP,10,1,9
2004,ESP,10,1,9
2005,ESP,10,1,9
2006,ESP,10,2,8
2007,ESP,10,2,8
2008,ESP,10,2,8
2009,ESP,10,2,8
2010,ESP,10,2,8
2011,ESP,10,2,8
2012,ESP,10,2,8
2013,ESP,10,2,8
2014,ESP,10,2,8
2015,ESP,10,2,8
2016,ESP,10,2,8
2017,ESP,10,3,7
2018,ESP,10,3,7
2019,ESP,10,3,7
2020,ESP,10,3,7
1977,FIN,1,0,1
1978,FIN,2,0,2
1979,FIN,2,0,2
1980,FIN,4,0,4
1981,FIN,4,0,4
1982,FIN,4,0,4
1983,FIN,4,0,4
1984,FIN,4,0,4
1985,FIN,4,0,4
1986,FIN,4,0,4
1987,FIN,4,0,4
1988,FIN,4,0,4
1989,FIN,4,0,4
1990,FIN,4,0,4
1991,FIN,4,0,4
1992,FIN,4,0,4
1993,FIN,4,0,4
1994,FIN,4,0,4
1995,FIN,4,0,4
1996,FIN,4,0,4
1997,FIN,4,0,4
1998,FIN,4,0,4
1999,FIN,4,0,4
2000,FIN,4,0,4
2001,FIN,4,0,4
2002,FIN,4,0,4
2003,FIN,4,0,4
2004,FIN,4,0,4
2005,FIN,4,0,4
2006,FIN,4,0,4
2007,FIN,4,0,4
2008,FIN,4,0,4
2009,FIN,4,0,4
2010,FIN,4,0,4
2011,FIN,4,0,4
2012,FIN,4,0,4
2013,FIN,4,0,4
2014,FIN,4,0,4
2015,FIN,4,0,4
2016,FIN,4,0,4
2017,FIN,4,0,4
2018,FIN,4,0,4
2019,FIN,4,0,4
2020,FIN,4,0,4
1959,FRA,1,0,1
1960,FRA,2,0,2
1961,FRA,2,0,2
1962,FRA,2,0,2
1963,FRA,3,0,3
1964,FRA,3,0,3
1965,FRA,4,0,4
1966,FRA,5,0,5
1967,FRA,7,0,7
1968,FRA,7,0,7
1969,FRA,8,0,8
1970,FRA,8,0,8
1971,FRA,9,0,9
1972,FRA,10,0,10
1973,FRA,11,1,10
1974,FRA,11,1,10
1975,FRA,11,1,10
1976,FRA,11,1,10
1977,FRA,13,1,12
1978,FRA,15,1,14
1979,FRA,17,1,16
1980,FRA,24,2,22
1981,FRA,32,2,30
1982,FRA,34,2,32
1983,FRA,38,2,36
1984,FRA,44,3,41
1985,FRA,48,5,43
1986,FRA,54,5,49
1987,FRA,58,5,53
1988,FRA,60,5,55
1989,FRA,60,5,55
1990,FRA,63,7,56
1991,FRA,64,8,56
1992,FRA,65,9,56
1993,FRA,66,9,57
1994,FRA,66,10,56
1995,FRA,66,10,56
1996,FRA,67,10,57
1997,FRA,69,10,59
1998,FRA,69,11,58
1999,FRA,70,11,59
2000,FRA,70,11,59
2001,FRA,70,11,59
2002,FRA,70,11,59
2003,FRA,70,11,59
2004,FRA,70,11,59
2005,FRA,70,11,59
2006,FRA,70,11,59
2007,FRA,70,11,59
2008,FRA,70,11,59
2009,FRA,70,11,59
2010,FRA,70,12,58
2011,FRA,70,12,58
2012,FRA,70,12,58
2013,FRA,70,12,58
2014,FRA,70,12,58
2015,FRA,70,12,58
2016,FRA,70,12,58
2017,FRA,70,12,58
2018,FRA,70,12,58
2019,FRA,70,12,58
2020,FRA,70,14,56
1956,GBR,1,0,1
1957,GBR,2,0,2
1958,GBR,3,0,3
1959,GBR,7,0,7
1960,GBR,8,0,8
1961,GBR,8,0,8
1962,GBR,13,0,13
1963,GBR,14,0,14
1964,GBR,16,0,16
1965,GBR,22,0,22
1966,GBR,24,0,24
1967,GBR,26,0,26
1968,GBR,27,0,27
1969,GBR,27,0,27
1970,GBR,27,0,27
1971,GBR,29,0,29
1972,GBR,29,0,29
1973,GBR,29,0,29
1974,GBR,29,0,29
1975,GBR,30,0,30
1976,GBR,33,0,33
1977,GBR,34,1,33
1978,GBR,34,1,33
1979,GBR,34,1,33
1980,GBR,34,1,33
1981,GBR,34,2,32
1982,GBR,34,2,32
1983,GBR,37,2,35
1984,GBR,39,2,37
1985,GBR,40,2,38
1986,GBR,40,2,38
1987,GBR,40,2,38
1988,GBR,43,3,40
1989,GBR,44,5,39
1990,GBR,44,7,37
1991,GBR,44,9,35
1992,GBR,44,9,35
1993,GBR,44,9,35
1994,GBR,44,10,34
1995,GBR,45,10,35
1996,GBR,45,10,35
1997,GBR,45,10,35
1998,GBR,45,10,35
1999,GBR,45,10,35
2000,GBR,45,12,33
2001,GBR,45,12,33
2002,GBR,45,14,31
2003,GBR,45,18,27
2004,GBR,45,22,23
2005,GBR,45,22,23
2006,GBR,45,26,19
2007,GBR,45,26,19
2008,GBR,45,26,19
2009,GBR,45,26,19
2010,GBR,45,26,19
2011,GBR,45,27,18
2012,GBR,45,29,16
2013,GBR,45,29,16
2014,GBR,45,29,16
2015,GBR,45,30,15
2016,GBR,45,30,15
2017,GBR,45,30,15
2018,GBR,45,30,15
2019,GBR,45,30,15
2020,GBR,45,30,15
1982,HUN,1,0,1
1983,HUN,1,0,1
1984,HUN,2,0,2
1985,HUN,2,0,2
1986,HUN,3,0,3
1987,HUN,4,0,4
1988,HUN,4,0,4
1989,HUN,4,0,4
1990,HUN,4,0,4
1991,HUN,4,0,4
1992,HUN,4,0,4
1993,HUN,4,0,4
1994,HUN,4,0,4
1995,HUN,4,0,4
1996,HUN,4,0,4
1997,HUN,4,0,4
1998,HUN,4,0,4
1999,HUN,4,0,4
2000,HUN,4,0,4
2001,HUN,4,0,4
2002,HUN,4,0,4
2003,HUN,4,0,4
2004,HUN,4,0,4
2005,HUN,4,0,4
2006,HUN,4,0,4
2007,HUN,4,0,4
2008,HUN,4,0,4
2009,HUN,4,0,4
2010,HUN,4,0,4
2011,HUN,4,0,4
2012,HUN,4,0,4
2013,HUN,4,0,4
2014,HUN,4,0,4
2015,HUN,4,0,4
2016,HUN,4,0,4
2017,HUN,4,0,4
2018,HUN,4,0,4
2019,HUN,4,0,4
2020,HUN,4,0,4
1969,IND,2,0,2
1970,IND,2,0,2
1971,IND,2,0,2
1972,IND,3,0,3
1973,IND,3,0,3
1974,IND,3,0,3
1975,IND,3,0,3
1976,IND,3,0,3
1977,IND,3,0,3
1978,IND,3,0,3
1979,IND,3,0,3
1980,IND,4,0,4
1981,IND,4,0,4
1982,IND,4,0,4
1983,IND,5,0,5
1984,IND,5,0,5
1985,IND,6,0,6
1986,IND,6,0,6
1987,IND,6,0,6
1988,IND,6,0,6
1989,IND,7,0,7
1990,IND,7,0,7
1991,IND,7,0,7
1992,IND,9,0,9
1993,IND,9,0,9
1994,IND,9,0,9
1995,IND,10,0,10
1996,IND,10,0,10
1997,IND,10,0,10
1998,IND,10,0,10
1999,IND,11,0,11
2000,IND,14,0,14
2001,IND,14,0,14
2002,IND,14,0,14
2003,IND,14,0,14
2004,IND,14,0,14
2005,IND,15,0,15
2006,IND,16,0,16
2007,IND,17,0,17
2008,IND,17,0,17
2009,IND,18,0,18
2010,IND,19,0,19
2011,IND,20,0,20
2012,IND,20,0,20
2013,IND,21,0,21
2014,IND,21,0,21
2015,IND,21,0,21
2016,IND,22,0,22
2017,IND,22,0,22
2018,IND,22,0,22
2019,IND,22,0,22
2020,IND,22,0,22
2011,IRN,1,0,1
2012,IRN,1,0,1
2013,IRN,1,0,1
2014,IRN,1,0,1
2015,IRN,1,0,1
2016,IRN,1,0,1
2017,IRN,1,0,1
2018,IRN,1,0,1
2019,IRN,1,0,1
2020,IRN,1,0,1
1963,ITA,1,0,1
1964,ITA,3,0,3
1965,ITA,3,0,3
1966,ITA,3,0,3
1967,ITA,3,0,3
1968,ITA,3,0,3
1969,ITA,3,0,3
1970,ITA,3,0,3
1971,ITA,3,0,3
1972,ITA,3,0,3
1973,ITA,3,0,3
1974,ITA,3,0,3
1975,ITA,3,0,3
1976,ITA,3,0,3
1977,ITA,3,0,3
1978,ITA,4,0,4
1979,ITA,4,0,4
1980,ITA,4,0,4
1981,ITA,4,0,4
1982,ITA,4,1,3
1983,ITA,4,1,3
1984,ITA,4,1,3
1985,ITA,4,1,3
1986,ITA,4,1,3
1987,ITA,4,2,2
1988,ITA,4,2,2
