Report generated on: 12-20-2020 22:43:33
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","total energy production from nuclear (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-GEO-QBTU.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-DEU-QBTU.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","1.42929189","1.53956712","1.48790941","1.46102944","1.463231596","1.529422915","1.627990532","1.544987282","1.624891744","1.621088686","1.63732714","1.5755526","1.575753543","1.594896888","1.549366852","1.59043291","1.334887389","1.411818606","1.279872099","1.332913252","1.007661039","0.926771202","0.90750242142","0.903980616","0.85811685","0.79149195","0.714774515","0.71183273"
"INTL.4417-1-DDR-QBTU.A","        Germany, East","0.134084142","0.126494048","0.115306272","0.129990228","0.13240372","0.143670442","0.123020424","0.1201107","0.124757236","0.1246219","0.060100462","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4417-1-DEUW-QBTU.A","        Germany, West","0.4659294","0.57009753","0.673979777","0.698422297","0.976594773","1.32008247","1.25295924","1.366622565","1.518573294","1.470297767","1.459249155","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"none","        Ghana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Gibraltar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Greece","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Greenland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Grenada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Guadeloupe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Guam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Guatemala","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Guinea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Guinea-Bissau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Guyana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"none","        Haiti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4417-1-HITZ-QBTU.A","        Hawaiian Trade Zone","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"none","        Honduras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
