"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2693.13067211924","2845.36569268163","3267.9763342472","3970.22834513728","5359.77367496561","5818.02148249418","6219.51863627279","6354.78529411364","6756.02622977834","7458.53069671579","8207.0494993557","9727.73444595076","10271.0422164773","9377.89651339632","10068.4595000975","9122.05304044853","9056.95437241485","9252.51524772453","11447.2706020081","14142.4640359334","14129.7862358023","14614.0296412769","14439.0309618292","13921.1806072479","14378.0739179615","16043.8765020947","17314.3732350413","18604.7508340689","16982.1765009546","16353.9806121888","17053.4533814571","15432.9890401922","15966.4707190707","18701.812504384","24129.2139210635","26330.9365524622","27633.4425906001","30910.8185113601","37434.3745703451","33071.5799209634","40009.6690384468","47825.9928917426","52858.3755460261","53239.1730612723","48104.1829595054","44138.5367126408","38730.3859643681","41849.2249877152","43345.8711026031","","",
"Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1762.5601683487","2036.00552240455","2500.07848481582","3335.0237020204","3961.75573178248","4503.92869516202","4861.11632700643","5805.25221975407","6962.65349725656","8321.86794232875","9183.86610894291","7873.04943772013","7903.67482762752","8045.04073112604","7576.53968542791","7745.5832200274","11022.6727672045","13796.8418789728","14886.8884625993","14802.583430635","18412.9197655922","18912.879301948","21002.6412209134","20254.8010019255","21553.2634921675","25393.7368269514","25034.7021655914","22290.4199405749","22794.2721287908","22352.3084841562","20343.6561203471","20128.5055292375","21823.0409413698","26670.9980354492","30565.7418406599","31857.4863728758","33974.7974192602","39121.0843356344","43479.9965472695","39508.732729905","38999.7037377883","42579.3791848538","39994.1723625596","41696.6578604414","42429.8348390611","35813.1011185463","37144.0880766","38586.6923030608","42094.9970111155","","",
"Azerbaijan","AZE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","449.278838870772","406.869947849898","361.554368004865","435.517829912327","551.065444931511","651.563082935814","739.64694079053","942.1748398918","1356.51822896961","2043.42585143525","3145.38507462396","3310.38422943317","3836.05156996217","4641.90033639661","5146.88047152547","5696.9169527648","5987.52654372525","4423.66342371374","2996.27025136683","3168.80915680002","3298.41073543451","","",
"Burundi","BDI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","172.272776441218","178.837062522351","173.396414353521","188.964486102536","165.510319943156","188.836063408606","185.349190784134","165.118467651278","152.511018894075","152.793490888772","147.307687143235","151.552503763078","134.710649689559","114.070702367548","106.05172276211","101.159278633326","79.5450280125159","95.7583209232809","83.6130081984053","88.5452994563652","97.3595559486335","86.9457944398876","72.9494031457977","48.3262365793133","65.9664465215331","85.0938927297455","102.400363730189","91.8018774968138","104.993537616636","117.349614372596","146.830951767843","153.864909599501","175.357814479283","180.364192477153","191.415174154879","216.101127249356","196.737774143654","207.303283668888","205.600481351323","","",
"Belgium","BEL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2410.191318172","2691.09004486309","3348.83687358058","4306.10761912678","5022.49547214835","5874.76039047782","6392.80946633887","7361.85268781245","8978.92861222713","10243.1348574086","10887.9967548444","8915.09146187921","7803.28696009509","7386.1309332737","7122.15959471613","7405.3543113863","10349.3059911695","12944.7627391124","14095.6273377291","14176.155295418","17695.2629133603","18093.5585251939","20054.3221304655","19265.7786116495","21128.1801074864","24609.4160088061","23720.5369366805","21434.1263408022","21836.0505575286","21652.8696906937","19805.4682387344","19527.9925802386","21086.2631017354","25824.7871294504","29722.8430052743","30803.5638060321","32307.8551126697","36933.7227421694","40253.6014425397","36728.1953820416","36309.073349824","38241.7842309427","36970.205254987","38775.6492755277","39500.8433335221","33795.3498438961","34526.6017552403","36529.1571497113","38859.971074517","","",
"Benin","BEN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","106.397257263048","127.930893037515","154.40491885914","166.679257637946","196.774812523067","195.406294650684","205.504299915313","246.565323206619","306.968721375726","352.806229528506","316.54509631205","296.594497143043","244.840328577371","222.508925722352","217.987348778445","274.11584617363","308.818251309906","313.348537146064","275.296486403622","348.944268637215","343.000014602145","270.939045358105","355.607007199603","233.066694714976","304.693990178004","316.701855894638","298.2612585302","315.545037911599","462.439072941762","431.57797646181","438.162945174673","485.605264082411","602.837763578373","680.176716862491","704.121464696293","726.860599111335","816.951898030685","949.978588570537","911.269857925456","869.912850687736","950.44647497815","961.476021209998","1051.92862794786","1081.84463808868","884.550891501039","881.385765078217","923.187614208063","1007.97267878576","","",
"Burkina Faso","BFA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","263.981171361913","235.684950387755","224.753542890646","198.822456103359","175.900244850609","183.648264944617","233.40307347628","262.947735238431","281.65412271506","273.238741982822","314.05005408516","309.147226074664","211.308229957647","214.773353873813","164.6930571661","199.463074718534","214.013294106946","196.189525923751","219.219848289551","","","","","","","","","","","","","","","","","482.618059917995","481.762130680901","527.762402284909","605.120341792894","","",
"Bangladesh","BGD","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","110.225868821687","168.430839289204","254.62164110849","128.997224963707","117.645802661902","158.87280992521","183.167315429247","208.491995164993","231.140913011143","205.556930901091","193.226684929634","202.535922357368","230.038917473674","219.277151764932","239.244039307394","254.441641287258","268.719567717804","287.017611754505","275.120878336055","276.048447975491","283.64396814039","283.867485453642","311.924841760653","371.992157099719","379.647046597163","385.446222629429","388.116373608648","396.836431906354","392.650651992198","394.444204199121","426.348418339316","455.926285116833","479.197776050157","488.851419491248","539.881589044101","622.944538226429","690.13487994327","769.242875212893","844.162490244884","870.076392059882","965.553400265294","1085.05183789539","1210.47326863123","1352.69481266156","1487.30389666951","1618.95996227485","","",
"Bulgaria","BGR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1877.24007885176","1885.41099768099","1832.46779822359","1574.67357108395","1674.85670803825","1628.87189205697","1924.23372948705","2654.78699116022","2083.47783436752","2026.71310786181","1833.0453412547","953.368119051732","1027.80514296288","1077.64869745453","997.389353740433","2057.37903208751","1315.22379995346","1225.5556783204","1596.75274149371","1435.06048105828","1366.34684568407","1541.61935737561","1852.25176052854","2365.01424120215","2931.54923726858","3324.34269698693","3713.18654881075","4591.59910822442","5939.9623286842","5722.57254648975","5551.92654208575","6339.82735384448","6178.9901358562","6365.81090160602","6583.43102271066","5767.00819583548","6202.05678716522","6913.48668473034","8148.28832754398","","",
