year,country,cons_btu,coal_cons_btu,gas_cons_btu,oil_cons_btu,nuclear_cons_btu,renewables_cons_btu,prod_btu,coal_prod_btu,gas_prod_btu,oil_prod_btu,nuclear_prod_btu,renewables_prod_btu,co2,co2_growth_prct,co2_growth_abs,consumption_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,population,GDP,GDP growth,GDP per capita,GDP per capita growth,income per capita,income per capita growth,built_reactors,shutdown_reactors,operating_reactors,nuclear_warheads,accident_cost_MioUSD2013,accident_deaths,research_%GDP,representative_government,fundamental_rights,checks_on_gouvernment,impartial_administration,civil_society_participation
2012,ABW,0.018231637206999995,0.0,0.0,0.01692794520699999,,0.001303692,0.001303692,0.0,0.0,0.0,,0.001303692,1.348,-46.041000000000004,-1.15,,13.091,,0.004,59.715,0.005,,,,103000.0,2534636871.50838,-1.3698630136986298,24713.6980451285,-1.8641677173936297,21057.672116511298,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013,ABW,0.017646844013999994,0.0,0.0,0.01618707101399999,,0.001459773,0.001459773,0.0,0.0,0.0,,0.001459773,0.861,-36.141,-0.48700000000000004,,8.36,,0.002,60.576,0.005,,,,103000.0,2701675977.6536303,4.19823232323233,26189.4355088129,3.59319794754416,21905.6508112196,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014,ABW,0.017923158514899992,0.0,0.0,0.016386297817899992,,0.001536860697,0.001536860697,0.0,0.0,0.0,,0.001536860697,0.872,1.2770000000000001,0.011000000000000001,,8.385,,0.002,61.448,0.005,,,,104000.0,2765363128.49162,0.29999999999998306,26647.938100985,-0.294411895079691,22913.2712161745,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015,ABW,0.018428460128,0.0,0.0,0.016791,,0.001637460128,0.001637460128,0.0,0.0,0.0,,0.001637460128,0.898,2.9410000000000003,0.026000000000000002,,8.632,,0.003,62.346000000000004,0.005,,,,104000.0,2919553072.6257,5.700000875893981,27980.880695275097,5.12561592178551,23917.7967109349,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016,ABW,0.017901294784,0.0,0.0,0.016521,,0.001380294784,0.001380294784,0.0,0.0,0.0,,0.001380294784,0.883,-1.633,-0.015,,8.41,,0.002,63.229,0.005,,,,105000.0,2965921787.7095,2.09999958566985,28281.35048163,1.5830350977227,24086.2794024895,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017,ABW,0.0185344642561474,0.0,0.0,0.017210445600147402,,0.001324018656,0.001324018656,0.0,0.0,0.0,,0.001324018656,0.8909999999999999,0.8740000000000001,0.008,,8.482999999999999,,0.002,64.12,0.005,,,,105000.0,3056424581.00559,1.9999991044233,29007.6930034887,1.5217803283704299,24399.693250147204,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2018,ABW,0.01790559206104303,0.0,0.0,0.016569926013043027,,0.001335666048,0.001335666048,0.0,0.0,0.0,,0.001335666048,0.897,0.7190000000000001,0.006,,8.464,,0.002,65.017,0.005,,,,106000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1980,AFG,0.026583214338371842,0.0024792482148388983,0.002094,0.014624098123532941,0.0,0.007385868,0.07256115380748067,0.0023552858074806604,0.06282,0.0,0.0,0.007385868,1.757,-21.383000000000003,-0.478,,0.132,,0.009000000000000001,31.814,0.008,0.055,,,13357000.0,3641723321.99546,,272.65528565023203,,255.79594085764901,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2802206273512677,0.196476312956417,0.3716561801551056,0.2656630787923102
1981,AFG,0.029949455734823764,0.002604252363041445,0.003141,0.01666759037178232,0.0,0.007536613,0.09272365274844367,0.002474039748443688,0.082713,0.0,0.0,0.007536613,1.979,12.655,0.222,,0.15,,0.011000000000000001,33.793,0.008,0.061,,,13172000.0,3478787909.09091,,264.11131745306096,,248.93531255988998,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2795907311629362,0.1926868057352447,0.3966611655462001,0.2656630787923102
1982,AFG,0.03189781140039855,0.003020932794048925,0.005235,0.016250900606349632,0.0,0.007390978,0.09506786415846948,0.002869886158469484,0.08480700000000001,0.0,0.0,0.007390978,2.096,5.869,0.11599999999999999,,0.163,,0.011000000000000001,35.888000000000005,0.009000000000000001,0.063,,,12883000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2790867533503786,0.1947903142650199,0.3970989326309335,0.2656630787923102
